pid,pathway,artist,label,title,_date,object_type,location,current_location,source,thumbnail,order,layout,collection,full
img1,entangled ecologies,David Berg,"David Berg, Regrowth I, 2017. Photograph, St. Croix.",Regrowth I,2017,,St. Croix,,,/img/derivatives/simple/img1/thumbnail.jpg,00,qatar_item,cnc_art,/img/derivatives/simple/img1/fullwidth.jpg
img2,entangled ecologies,David Berg,"David Berg, Deafening Silence, 2017. Photograph. St. Croix.",Regrowth II,2017,,St. Croix,,,/img/derivatives/simple/img2/thumbnail.jpg,01,qatar_item,cnc_art,/img/derivatives/simple/img2/fullwidth.jpg
img3,predictable precarity,David Berg,"David Berg, Still Here, 2017. Photograph. St. Croix.",Still Here,2017,,St. Croix,,,/img/derivatives/simple/img3/thumbnail.jpg,02,qatar_item,cnc_art,/img/derivatives/simple/img3/fullwidth.jpg
img4,predictable precarity,David Berg,"David Berg, Deafening Silence, 2017. Photograph. St. Croix.",Deafening Silence,2017,,St. Croix,,,/img/derivatives/simple/img4/thumbnail.jpg,03,qatar_item,cnc_art,/img/derivatives/simple/img4/fullwidth.jpg
img5,creative resistance,Sally Binard,"Sally Binard, Afraid to Launch, 2017. Oil and Mixed Media on Found Wood, 26"" x 4.5"" x 1.5"". Florida Keys.",Afraid to Launch,2017,,Florida Keys,,,/img/derivatives/simple/img5/thumbnail.jpg,04,qatar_item,cnc_art,/img/derivatives/simple/img5/fullwidth.jpg
img6,creative resistance,Sally Binard,"Sally Binard, Reclamation, 2017. Oil and Mixed Media on Found Wood, 15"" x 48"" x 2"". Florida Keys.",Reclamation,2017,,Florida Keys,,,/img/derivatives/simple/img6/thumbnail.jpg,05,qatar_item,cnc_art,/img/derivatives/simple/img6/fullwidth.jpg
img7,creative resistance,Jo Cosme,"Jo Cosme, Welcome to Paradise, 2017. Photograph. Puerto Rico.",Welcome to Paradise,2017,,Puerto Rico,,,/img/derivatives/simple/img7/thumbnail.jpg,06,qatar_item,cnc_art,/img/derivatives/simple/img7/fullwidth.jpg
img8,creative resistance,Jo Cosme,"Jo Cosme, Welcome to Paradise, 2017. Photograph. Puerto Rico.",Welcome to Paradise,2017,,Puerto Rico,,,/img/derivatives/simple/img8/thumbnail.jpg,07,qatar_item,cnc_art,/img/derivatives/simple/img8/fullwidth.jpg
img9,predictable precarity,Jo Cosme,"Jo Cosme, Crónicas de un Futuro Catastrófico, 2017. Mixed Media. Puerto Rico.",Crónicas de un Futuro Catastrófico,2017,,Puerto Rico,,,/img/derivatives/simple/img9/thumbnail.jpg,08,qatar_item,cnc_art,/img/derivatives/simple/img9/fullwidth.jpg
img10,predictable precarity,Jo Cosme,"Jo Cosme, Crónicas de un Futuro Catastrófico, 2017. Mixed Media. Puerto Rico.",Crónicas de un Futuro Catastrófico,2017,,Puerto Rico,,,/img/derivatives/simple/img10/thumbnail.jpg,09,qatar_item,cnc_art,/img/derivatives/simple/img10/fullwidth.jpg
img11,predictable precarity,Jo Cosme,"Jo Cosme, Crónicas de un Futuro Catastrófico, 2017. Mixed Media. Puerto Rico.",Crónicas de un Futuro Catastrófico,2017,,Puerto Rico,,,/img/derivatives/simple/img11/thumbnail.jpg,10,qatar_item,cnc_art,/img/derivatives/simple/img11/fullwidth.jpg
img12,predictable precarity,Nicole Delgado,"Nicole Delgado, 2017. Photograph. Puerto Rico.",One Way Ticket (?),2017,,Puerto Rico,,,/img/derivatives/simple/img12/thumbnail.jpg,11,qatar_item,cnc_art,/img/derivatives/simple/img12/fullwidth.jpg
img13,entangled ecologies,Sarabel Santos-Negrón,"Sarabel Santos-Negrón, Groundscapes Displaced, 2017. Mixed Media, Dimensions Vary. Puerto Rico.",Grounscapes Displaced,2017,,Puerto Rico,,,/img/derivatives/simple/img13/thumbnail.jpg,12,qatar_item,cnc_art,/img/derivatives/simple/img13/fullwidth.jpg
img14,entangled ecologies,Sarabel Santos-Negrón,"Sarabel Santos-Negrón, Groundscapes Displaced, 2017. Mixed Media, Dimensions Vary. Puerto Rico.",Grounscapes Displaced,2017,,Puerto Rico,,,/img/derivatives/simple/img14/thumbnail.jpg,13,qatar_item,cnc_art,/img/derivatives/simple/img14/fullwidth.jpg
img15,creative resistance,Sarabel Santos-Negrón,"Sarabel Santos-Negrón, Groundscapes Displaced, 2017. Mixed Media, Dimensions Vary. Puerto Rico.",Grounscapes Displaced,2017,,Puerto Rico,,,/img/derivatives/simple/img15/thumbnail.jpg,14,qatar_item,cnc_art,/img/derivatives/simple/img15/fullwidth.jpg
img16,creative resistance,Sarabel Santos-Negrón,"Sarabel Santos-Negrón, Groundscapes Displaced, 2017. Mixed Media, Dimensions Vary. Puerto Rico.",Grounscapes Displaced,2017,,Puerto Rico,,,/img/derivatives/simple/img16/thumbnail.jpg,15,qatar_item,cnc_art,/img/derivatives/simple/img16/fullwidth.jpg
img17,creative resistance,Sarabel Santos-Negrón,"Sarabel Santos-Negrón, Groundscapes Displaced, 2017. Mixed Media, Dimensions Vary. Puerto Rico.",Grounscapes Displaced,2017,,Puerto Rico,,,/img/derivatives/simple/img17/thumbnail.jpg,16,qatar_item,cnc_art,/img/derivatives/simple/img17/fullwidth.jpg
